#Raman spectra
#Laser energy   1.95 eV
#Raman shift (cm-1), Raman Spectra (XX,YY,ZZ,s+s+,s-s-,XY,YX,s+s-,s-s+,nonpol)
   359.7744  0.12990095E+003  0.13033701E+003  0.84873435E+002  0.97140504E+002  0.97131371E+002  0.28800310E+002  0.29352826E+002  0.61982920E+002  0.62136300E+002  0.10404265E+003
   360.0251  0.13166234E+003  0.13210523E+003  0.85864744E+002  0.98275291E+002  0.98265880E+002  0.29427117E+002  0.29991634E+002  0.63245902E+002  0.63399249E+002  0.10533048E+003
   360.2757  0.13346449E+003  0.13391432E+003  0.86873514E+002  0.99430075E+002  0.99420374E+002  0.30074577E+002  0.30651492E+002  0.64550553E+002  0.64703876E+002  0.10664600E+003
   360.5263  0.13530877E+003  0.13576568E+003  0.87900158E+002  0.10060533E+003  0.10059532E+003  0.30743606E+002  0.31333332E+002  0.65898715E+002  0.66052023E+002  0.10799007E+003
   360.7769  0.13719664E+003  0.13766077E+003  0.88945101E+002  0.10180153E+003  0.10179122E+003  0.31435172E+002  0.32038141E+002  0.67292332E+002  0.67445635E+002  0.10936356E+003
   361.0276  0.13912962E+003  0.13960110E+003  0.90008779E+002  0.10301919E+003  0.10300855E+003  0.32150296E+002  0.32766959E+002  0.68733460E+002  0.68886767E+002  0.11076740E+003
   361.2782  0.14110931E+003  0.14158828E+003  0.91091643E+002  0.10425883E+003  0.10424785E+003  0.32890060E+002  0.33520888E+002  0.70224268E+002  0.70377591E+002  0.11220253E+003
   361.5288  0.14313738E+003  0.14362398E+003  0.92194157E+002  0.10552096E+003  0.10550964E+003  0.33655605E+002  0.34301092E+002  0.71767053E+002  0.71920404E+002  0.11366997E+003
   361.7794  0.14521559E+003  0.14570997E+003  0.93316798E+002  0.10680615E+003  0.10679446E+003  0.34448141E+002  0.35108805E+002  0.73364248E+002  0.73517637E+002  0.11517076E+003
   362.0301  0.14734577E+003  0.14784808E+003  0.94460061E+002  0.10811495E+003  0.10810288E+003  0.35268950E+002  0.35945332E+002  0.75018425E+002  0.75171866E+002  0.11670598E+003
   362.2807  0.14952986E+003  0.15004027E+003  0.95624452E+002  0.10944796E+003  0.10943549E+003  0.36119391E+002  0.36812057E+002  0.76732313E+002  0.76885818E+002  0.11827680E+003
   362.5313  0.15176991E+003  0.15228857E+003  0.96810495E+002  0.11080576E+003  0.11079288E+003  0.37000902E+002  0.37710450E+002  0.78508804E+002  0.78662389E+002  0.11988441E+003
   362.7820  0.15406805E+003  0.15459513E+003  0.98018730E+002  0.11218898E+003  0.11217567E+003  0.37915015E+002  0.38642067E+002  0.80350970E+002  0.80504648E+002  0.12153006E+003
   363.0326  0.15642655E+003  0.15696221E+003  0.99249715E+002  0.11359825E+003  0.11358450E+003  0.38863353E+002  0.39608565E+002  0.82262069E+002  0.82415856E+002  0.12321508E+003
